agency,city,state,ntd_id,organization_type,reporter_type,primary_uza_population,agency_voms,mode,tos,mode_voms,fare_revenues_per_unlinked_passenger_trip,fare_revenues_per_total_operating_expense_(recovery_ratio),cost_per_hour,cost_per_passenger,cost_per_passenger_mile,fare_revenues_earned,total_operating_expenses,unlinked_passenger_trips,vehicle_revenue_hours,passenger_miles,vehicle_revenue_miles,year
MTA New York City Transit,New York,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10856.0,HR,DO,5364.0,1.33,0.69,265.27,1.93,0.51,3503324236.0,5068977553.0,2628355851.0,19108654.0,9989099073.0,348452183.0,2018
MTA New York City Transit,New York,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10856.0,CB,DO,488.0,5.97,0.33,388.94,18.17,1.42,74061339.0,225396480.0,12403449.0,579510.0,158586769.0,9246853.0,2018
MTA New York City Transit,New York,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10856.0,MB,DO,3256.0,1.22,0.33,211.19,3.7,1.74,842210348.0,2563162504.0,691981427.0,12136604.0,1472423041.0,85824679.0,2018
MTA New York City Transit,New York,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10856.0,DR,PT,1602.0,2.01,0.02,106.67,89.7,10.03,10235744.0,456195515.0,5086003.0,4276565.0,45490979.0,39961650.0,2018
MTA New York City Transit,New York,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10856.0,RB,DO,146.0,1.1,0.33,199.23,3.34,1.8,33232652.0,101139444.0,30275821.0,507644.0,56084904.0,3314181.0,2018
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3873.0,LR,PT,42.0,0.96,0.15,775.87,6.32,1.64,14949476.0,98086952.0,15526126.0,126422.0,59777983.0,2084803.0,2018
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3873.0,DR,PT,394.0,1.81,0.03,98.05,56.99,9.2,2965134.0,93220848.0,1635781.0,950762.0,10131563.0,15581659.0,2018
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3873.0,VP,PT,189.0,2.81,0.2,96.24,13.86,0.37,1903621.0,9389667.0,677560.0,97569.0,25137891.0,4246718.0,2018
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3873.0,MB,DO,1854.0,2.65,0.45,165.38,5.89,0.78,375610342.0,833933765.0,141592389.0,5042652.0,1066078886.0,73150038.0,2018
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3873.0,MB,PT,178.0,0.98,0.15,106.87,6.33,1.53,9813104.0,63639745.0,10048246.0,595506.0,41493521.0,7123448.0,2018
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3873.0,YR,PT,17.0,0.85,0.07,649.13,11.95,0.83,2302804.0,32279287.0,2700645.0,49727.0,38740464.0,1259015.0,2018
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3873.0,LR,DO,14.0,0.96,0.23,444.58,4.11,1.77,5235383.0,22345248.0,5431405.0,50262.0,12633883.0,503616.0,2018
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3873.0,CR,DO,1185.0,6.45,0.55,538.1,11.68,0.47,561748246.0,1016958264.0,87059367.0,1889904.0,2148639449.0,62182061.0,2018
