agency,city,state,legacy_ntd_id,ntd_id,organization_type,reporter_type,primary_uza__population,agency_voms,mode,tos,mode_voms,fare_revenues_per_unlinked_passenger_trip,fare_revenues_per_total_operating_expense_(recovery_ratio),cost_per__hour,passengers_per_hour,cost_per_passenger,cost_per_passenger_mile,fare_revenues_earned,total_operating_expenses,unlinked_passenger_trips,vehicle_revenue_hours,passenger_miles,vehicle_revenue_miles,any_data_questionable?,year,uace_code,uza_name,primary_uza_population,cost_per_hour
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10885.0,HR,DO,5413.0,1.34,0.7,267.97,139.6,1.92,0.5,3643213720.0,5206727193.0,2712521697.0,19430373.0,10462782577.0,354616371.0,No,2019,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10885.0,CB,DO,437.0,6.66,0.32,393.55,18.6,21.13,1.58,76398352.0,242520835.0,11477164.0,616233.0,153389117.0,9866807.0,No,2019,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10885.0,MB,DO,3262.0,1.22,0.32,219.87,56.6,3.88,1.82,846111742.0,2685918268.0,691616614.0,12215926.0,1478429570.0,86233591.0,No,2019,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10885.0,DR,PT,1627.0,2.03,0.02,129.45,1.2,106.96,11.92,9781667.0,516470491.0,4828423.0,3989579.0,43330163.0,37759280.0,No,2019,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10885.0,RB,DO,146.0,1.06,0.32,199.16,59.3,3.36,1.81,32469300.0,103071355.0,30695695.0,517519.0,57076245.0,3382426.0,No,2019,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3645.0,CR,DO,923.0,6.33,0.55,570.25,49.8,11.44,0.51,566604397.0,1024848749.0,89562931.0,1797179.0,2006197776.0,58567859.0,No,2019,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3645.0,DR,PT,427.0,2.15,0.03,109.76,1.6,67.02,10.67,3676854.0,114692919.0,1711304.0,1044989.0,10750959.0,16718421.0,No,2019,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3645.0,LR,PT,42.0,0.96,0.15,787.59,126.8,6.21,1.64,15489706.0,100196881.0,16132963.0,127219.0,61258605.0,2106129.0,No,2019,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3645.0,MB,DO,1871.0,2.66,0.42,172.0,27.1,6.34,0.92,375583737.0,895095763.0,141247365.0,5203906.0,975132912.0,73406127.0,No,2019,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3645.0,MB,PT,181.0,0.93,0.15,106.5,16.8,6.36,1.48,9155061.0,62422237.0,9818212.0,586110.0,42195890.0,7048139.0,No,2019,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3645.0,VP,PT,171.0,2.58,0.18,101.69,7.0,14.59,0.42,1640036.0,9265043.0,635166.0,91113.0,22289755.0,3947265.0,No,2019,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3645.0,YR,PT,16.0,0.85,0.07,704.9,55.9,12.61,0.85,2327483.0,34607780.0,2744872.0,49096.0,40925492.0,1232724.0,No,2019,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295.0,3645.0,LR,DO,14.0,1.0,0.23,467.0,105.6,4.42,1.92,5396351.0,23954159.0,5417438.0,51294.0,12445497.0,507528.0,No,2019,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3469.0,HR,DO,68.0,0.73,0.19,536.99,137.3,3.91,0.81,31426577.0,168453369.0,43074277.0,313697.0,207664947.0,6874200.0,No,2019,,,,
